is_fire,date,lon,lat,confidence,line_number,elevation,land_cover_class,NDVI_5B,EVI_5B,LAI_5B,FPAR_5B,LST_5B,SW_radiation_5B,MOD13Q1_SummaryQA_0_1-5B,MCD15A3H_FparLai_QC_bit0-5B,MCD15A3H_FparLai_QC_3_4-5B,MOD21A1D_QC_0_1-5B,MOD21A1D_QC_4_5-5B,MCD18A1_DSR_Quality_0_1-5B,NDVI_4B,EVI_4B,LAI_4B,FPAR_4B,LST_4B,SW_radiation_4B,MOD13Q1_SummaryQA_0_1-4B,MCD15A3H_FparLai_QC_bit0-4B,MCD15A3H_FparLai_QC_3_4-4B,MOD21A1D_QC_0_1-4B,MOD21A1D_QC_4_5-4B,MCD18A1_DSR_Quality_0_1-4B,NDVI_3B,EVI_3B,LAI_3B,FPAR_3B,LST_3B,SW_radiation_3B,MOD13Q1_SummaryQA_0_1-3B,MCD15A3H_FparLai_QC_bit0-3B,MCD15A3H_FparLai_QC_3_4-3B,MOD21A1D_QC_0_1-3B,MOD21A1D_QC_4_5-3B,MCD18A1_DSR_Quality_0_1-3B,NDVI_2B,EVI_2B,LAI_2B,FPAR_2B,LST_2B,SW_radiation_2B,MOD13Q1_SummaryQA_0_1-2B,MCD15A3H_FparLai_QC_bit0-2B,MCD15A3H_FparLai_QC_3_4-2B,MOD21A1D_QC_0_1-2B,MOD21A1D_QC_4_5-2B,MCD18A1_DSR_Quality_0_1-2B,NDVI_1B,EVI_1B,LAI_1B,FPAR_1B,LST_1B,SW_radiation_1B,MOD13Q1_SummaryQA_0_1-1B,MCD15A3H_FparLai_QC_bit0-1B,MCD15A3H_FparLai_QC_3_4-1B,MOD21A1D_QC_0_1-1B,MOD21A1D_QC_4_5-1B,MCD18A1_DSR_Quality_0_1-1B,NDVI_0B,EVI_0B,LAI_0B,FPAR_0B,LST_0B,SW_radiation_0B,MOD13Q1_SummaryQA_0_1-0B,MCD15A3H_FparLai_QC_bit0-0B,MCD15A3H_FparLai_QC_3_4-0B,MOD21A1D_QC_0_1-0B,MOD21A1D_QC_4_5-0B,MCD18A1_DSR_Quality_0_1-0B
1,11/1/2000,-50.97864394,-22.43306045,92,550,452.325447,9,5320.73387,2456.77375,,,295.8245993,420.5719336,0,,,3,3,1,5700.736634,2744.675038,,,303.8009408,742.4478683,1,,,2,1,1,5997.900892,3065.934455,,,305.319138,531.5364292,0,,,1,2,1,6340.93556,3061.549712,,,307.1307898,646.6911,0,,,2,0,1,6082.241017,3795.038853,,,306.9999344,743.1925578,0,,,1,2,1,5953.30543,3355.015256,,,311.2138997,790.4649203,0,,,0,2,1
1,11/1/2000,-48.60160309,-20.60294305,86,1725,566.6442278,21,4558.098002,2260.249625,,,302.3280159,612.5757432,0,,,0,1,1,5223.677801,2670.582958,,,306.1476588,759.8739012,0,,,0,3,1,6069.863776,3650.969439,,,308.5468269,555.3737613,0,,,3,3,1,6429.75464,3555.077549,,,307.9352761,776.9493596,0,,,1,1,1,4822.690279,3024.322514,,,311.2694571,725.6174228,0,,,3,1,1,3590.229109,2195.928927,,,318.7207946,903.4691823,0,,,1,1,1
1,11/1/2000,-48.35717498,-21.7405836,62,1730,619.959076,20,4933.122196,2416.723539,,,301.0118344,574.5463874,0,,,1,0,1,5596.816193,2625.371722,,,304.358267,747.5075792,0,,,3,3,1,6045.445735,3217.430885,,,306.8521624,480.4554828,0,,,1,1,1,5854.376066,3471.529779,,,305.1899854,744.8612183,1,,,0,1,1,5294.969115,2837.907504,,,307.727009,758.5157488,0,,,1,0,1,5444.001739,3541.884102,,,314.4564126,856.6621615,0,,,0,3,1
1,11/1/2000,-48.09175476,-21.91595111,87.98492462,1731.994975,753.2653307,20,3655.573347,2122.934039,,,301.3041831,556.411038,0,,,3,2,1,3409.495537,1808.664191,,,306.3251355,752.9088946,0,,,3,3,1,2717.371672,1432.887432,,,309.3501453,466.9729321,0,,,2,0,1,2932.097559,1672.924323,,,306.9442184,762.6909105,0,,,0,3,1,3361.812386,1880.346947,,,312.9047693,781.7110087,0,,,3,0,1,4433.514783,2334.264506,,,319.7045776,859.1045765,0,,,3,3,1
1,11/1/2000,-47.16753862,-21.86199188,100,549,627.5817711,21,4671.436616,2286.358739,,,297.4371496,540.9342142,0,,,0,3,1,4762.592212,2404.481005,,,301.1110329,576.6028367,0,,,2,0,1,5353.045652,2812.32217,,,304.4871982,575.2320218,0,,,2,3,1,5234.448385,2924.565279,,,303.9594497,779.0557908,0,,,2,0,1,5235.184188,2779.015402,,,307.6749413,697.7491361,0,,,1,2,1,5002.071141,3024.061892,,,311.5259233,869.5328487,0,,,1,0,1
0,11/1/2000,-50.11251812,-22.63305358,,,565.8705571,15,3826.808109,2074.803525,,,299.6764269,415.4715617,0,,,0,1,1,4616.889908,2438.54493,,,304.6888863,747.4383677,0,,,2,1,1,5645.322058,3531.84478,,,306.3745807,549.0009807,0,,,2,3,1,5668.212993,3426.460681,,,305.4285521,710.5433178,0,,,3,3,1,5578.288627,3986.419584,,,308.3662352,814.590791,0,,,1,2,1,5883.904747,4183.119817,,,312.3166556,871.4742917,0,,,1,1,1
0,11/1/2000,-48.51351692,-23.13611014,,,696.8531727,9,6836.681868,3282.025609,,,293.7413084,517.0244508,0,,,1,2,1,7476.464828,3760.601723,,,,350.7354146,0,,,2,3,1,7740.061097,3864.469333,,,302.8367002,515.6338928,0,,,0,1,1,7563.591053,4613.699099,,,302.3454844,620.1038687,0,,,3,0,1,7625.344372,4579.095558,,,304.3118866,781.5248538,0,,,0,0,1,7523.811848,5062.943365,,,307.5475071,821.5826178,0,,,1,3,1
0,11/1/2000,-48.46860115,-23.54035202,,,624.7034023,15,3818.053309,1820.789607,,,297.5185496,526.7240248,0,,,1,3,1,4382.129916,1943.385642,,,,611.6893274,1,,,2,3,1,4867.105355,2820.883826,,,306.7970455,501.7951651,0,,,0,2,1,5155.663955,3251.833676,,,306.4784749,612.1349768,0,,,1,0,1,5632.360054,3453.203127,,,307.814297,733.0664322,0,,,3,0,1,5545.232137,3897.056276,,,307.5729746,857.6224195,0,,,0,0,1
0,11/1/2000,-48.54046638,-20.13573709,,,465.9594813,33,657.4887564,-134.9336956,,,298.1364109,568.2230012,0,,,1,2,1,964.9765564,237.6838609,,,301.6347608,776.0827501,0,,,0,0,1,212.7856452,255.0426144,,,301.2432828,575.2185063,0,,,0,1,1,101.2800583,56.30674096,,,302.8219647,780.6306261,0,,,3,2,1,-236.8333121,49.91694319,,,304.1131203,759.7762835,0,,,2,3,1,410.3508971,164.377439,,,310.433486,920.4473081,3,,,1,2,1
0,11/1/2000,-47.41757227,-20.63879365,,,967.8646214,21,4908.860068,2784.671041,,,300.7572865,597.6269798,1,,,2,2,1,5328.116373,3007.922603,,,299.7955516,773.9438839,0,,,0,1,1,6312.313226,3558.661633,,,308.2433832,507.5776176,0,,,3,2,1,6014.436556,3868.647166,,,304.5972598,758.7834586,0,,,1,2,1,5907.639339,3790.16444,,,307.4112989,793.0915926,0,,,0,3,1,5153.980491,3691.810442,,,315.2966581,914.7161577,3,,,0,1,1
